"tag" "date" "stage" "origin" "fork_length_mm" "action"
"43" "43" 2022-05-10 "facility" "hatch" NA "tag"
"44" "44" 2022-05-10 "facility" "hatch" NA "tag"
"45" "45" 2022-05-10 "facility" "hatch" NA "tag"
"46" "46" 2022-05-10 "facility" "hatch" NA "tag"
"47" "47" 2022-05-10 "facility" "hatch" NA "tag"
"48" "48" 2022-05-10 "facility" "hatch" NA "tag"
"49" "49" 2022-05-10 "facility" "hatch" NA "tag"
"50" "50" 2022-05-10 "facility" "hatch" NA "tag"
"51" "51" 2022-05-10 "facility" "hatch" NA "tag"
"52" "52" 2022-05-10 "facility" "hatch" NA "tag"
"53" "53" 2022-05-10 "facility" "hatch" NA "tag"
"54" "54" 2022-05-10 "facility" "hatch" NA "tag"
"55" "55" 2022-05-10 "facility" "hatch" NA "tag"
"56" "56" 2022-05-10 "facility" "hatch" NA "tag"
"57" "57" 2022-05-10 "facility" "hatch" NA "tag"
"58" "58" 2022-05-10 "facility" "hatch" NA "tag"
"59" "59" 2022-05-10 "facility" "hatch" NA "tag"
"60" "60" 2022-05-10 "facility" "hatch" NA "tag"
"61" "61" 2022-05-10 "facility" "hatch" NA "tag"
"62" "62" 2022-05-10 "facility" "hatch" NA "tag"
"63" "63" 2022-05-10 "facility" "hatch" NA "tag"
"64" "64" 2022-05-10 "facility" "hatch" NA "tag"
"65" "65" 2022-05-10 "facility" "hatch" NA "tag"
"66" "66" 2022-05-10 "facility" "hatch" NA "tag"
"67" "67" 2022-05-10 "facility" "hatch" NA "tag"
"68" "68" 2022-05-10 "facility" "hatch" NA "tag"
"69" "69" 2022-05-10 "facility" "hatch" NA "tag"
"70" "70" 2022-05-10 "facility" "hatch" NA "tag"
"71" "71" 2022-05-10 "facility" "hatch" NA "tag"
"72" "72" 2022-05-10 "facility" "hatch" NA "tag"
"73" "73" 2022-05-10 "facility" "hatch" NA "tag"
"74" "74" 2022-05-10 "facility" "hatch" NA "tag"
"75" "75" 2022-05-10 "facility" "hatch" NA "tag"
"76" "76" 2022-05-10 "facility" "hatch" NA "tag"
"77" "77" 2022-05-10 "facility" "hatch" NA "tag"
"78" "78" 2022-05-10 "facility" "hatch" NA "tag"
"79" "79" 2022-05-10 "facility" "hatch" NA "tag"
"80" "80" 2022-05-10 "facility" "hatch" NA "tag"
"81" "81" 2022-05-10 "facility" "hatch" NA "tag"
"82" "82" 2022-05-10 "facility" "hatch" NA "tag"
"83" "83" 2022-05-10 "facility" "hatch" NA "tag"
"84" "84" 2022-05-10 "facility" "hatch" NA "tag"
"85" "85" 2022-05-10 "facility" "hatch" NA "tag"
"86" "86" 2022-05-10 "facility" "hatch" NA "tag"
"87" "87" 2022-05-10 "facility" "hatch" NA "tag"
"88" "88" 2022-05-10 "facility" "hatch" NA "tag"
"89" "89" 2022-05-10 "facility" "hatch" NA "tag"
"90" "90" 2022-05-10 "facility" "hatch" NA "tag"
"91" "91" 2022-05-10 "facility" "hatch" NA "tag"
"92" "92" 2022-05-10 "facility" "hatch" NA "tag"
"93" "93" 2022-05-10 "facility" "hatch" NA "tag"
"94" "94" 2022-05-10 "facility" "hatch" NA "tag"
"95" "95" 2022-05-10 "facility" "hatch" NA "tag"
"96" "96" 2022-05-10 "facility" "hatch" NA "tag"
"97" "97" 2022-05-10 "facility" "hatch" NA "tag"
"98" "98" 2022-05-10 "facility" "hatch" NA "tag"
"99" "99" 2022-05-10 "facility" "hatch" NA "tag"
"100" "100" 2022-05-10 "facility" "hatch" NA "tag"
"101" "101" 2022-05-10 "facility" "hatch" NA "tag"
"102" "102" 2022-05-10 "facility" "hatch" NA "tag"
"103" "103" 2022-05-10 "facility" "hatch" NA "tag"
"104" "104" 2022-05-10 "facility" "hatch" NA "tag"
"105" "105" 2022-05-10 "facility" "hatch" NA "tag"
"106" "106" 2022-05-10 "facility" "hatch" NA "tag"
"107" "107" 2022-05-10 "facility" "hatch" NA "tag"
"108" "108" 2022-05-10 "facility" "hatch" NA "tag"
"109" "109" 2022-05-10 "facility" "hatch" NA "tag"
"110" "110" 2022-05-10 "facility" "hatch" NA "tag"
"111" "111" 2022-05-10 "facility" "hatch" NA "tag"
"112" "112" 2022-05-10 "facility" "hatch" NA "tag"
"113" "113" 2022-05-10 "facility" "hatch" NA "tag"
"114" "114" 2022-05-10 "facility" "hatch" NA "tag"
"115" "115" 2022-05-10 "facility" "hatch" NA "tag"
"116" "116" 2022-05-10 "facility" "hatch" NA "tag"
"117" "117" 2022-05-10 "facility" "hatch" NA "tag"
"118" "118" 2022-05-10 "facility" "hatch" NA "tag"
"119" "119" 2022-05-10 "facility" "hatch" NA "tag"
"120" "120" 2022-05-10 "facility" "hatch" NA "tag"
"121" "121" 2022-05-10 "facility" "hatch" NA "tag"
"122" "122" 2022-05-10 "facility" "hatch" NA "tag"
"123" "123" 2022-05-10 "facility" "hatch" NA "tag"
"124" "124" 2022-05-10 "facility" "hatch" NA "tag"
"125" "125" 2022-05-10 "facility" "hatch" NA "tag"
"126" "126" 2022-05-10 "facility" "hatch" NA "tag"
"127" "127" 2022-05-10 "facility" "hatch" NA "tag"
"128" "128" 2022-05-10 "facility" "hatch" NA "tag"
"129" "129" 2022-05-10 "facility" "hatch" NA "tag"
"130" "130" 2022-05-10 "facility" "hatch" NA "tag"
"131" "131" 2022-05-10 "facility" "hatch" NA "tag"
"132" "132" 2022-05-10 "facility" "hatch" NA "tag"
"133" "133" 2022-05-10 "facility" "hatch" NA "tag"
"134" "134" 2022-05-10 "facility" "hatch" NA "tag"
"135" "135" 2022-05-10 "facility" "hatch" NA "tag"
"136" "136" 2022-05-10 "facility" "hatch" NA "tag"
"137" "137" 2022-05-10 "facility" "hatch" NA "tag"
"138" "138" 2022-05-10 "facility" "hatch" NA "tag"
"139" "139" 2022-05-10 "facility" "hatch" NA "tag"
"140" "140" 2022-05-10 "facility" "hatch" NA "tag"
"141" "141" 2022-05-10 "facility" "hatch" NA "tag"
"142" "142" 2022-05-10 "facility" "hatch" NA "tag"
"143" "143" 2022-05-10 "facility" "hatch" NA "tag"
"144" "144" 2022-05-10 "facility" "hatch" NA "tag"
"145" "145" 2022-05-10 "facility" "hatch" NA "tag"
"146" "146" 2022-05-10 "facility" "hatch" NA "tag"
"147" "147" 2022-05-10 "facility" "hatch" NA "tag"
"148" "148" 2022-05-10 "facility" "hatch" NA "tag"
"149" "149" 2022-05-10 "facility" "hatch" NA "tag"
"150" "150" 2022-05-10 "facility" "hatch" NA "tag"
"151" "151" 2022-05-10 "facility" "hatch" NA "tag"
"152" "152" 2022-05-10 "facility" "hatch" NA "tag"
"153" "153" 2022-05-10 "facility" "hatch" NA "tag"
"154" "154" 2022-05-10 "facility" "hatch" NA "tag"
"155" "155" 2022-05-10 "facility" "hatch" NA "tag"
"156" "156" 2022-05-10 "facility" "hatch" NA "tag"
"157" "157" 2022-05-10 "facility" "hatch" NA "tag"
"158" "158" 2022-05-10 "facility" "hatch" NA "tag"
"159" "159" 2022-05-10 "facility" "hatch" NA "tag"
"160" "160" 2022-05-10 "facility" "hatch" NA "tag"
"161" "161" 2022-05-10 "facility" "hatch" NA "tag"
"162" "162" 2022-05-10 "facility" "hatch" NA "tag"
"163" "163" 2022-05-10 "facility" "hatch" NA "tag"
"164" "164" 2022-05-10 "facility" "hatch" NA "tag"
"165" "165" 2022-05-10 "facility" "hatch" NA "tag"
"166" "166" 2022-05-10 "facility" "hatch" NA "tag"
"167" "167" 2022-05-10 "facility" "hatch" NA "tag"
"168" "168" 2022-05-10 "facility" "hatch" NA "tag"
"169" "169" 2022-05-10 "facility" "hatch" NA "tag"
"170" "170" 2022-05-10 "facility" "hatch" NA "tag"
"171" "171" 2022-05-10 "facility" "hatch" NA "tag"
"172" "172" 2022-05-10 "facility" "hatch" NA "tag"
"173" "173" 2022-05-10 "facility" "hatch" NA "tag"
"174" "174" 2022-05-10 "facility" "hatch" NA "tag"
"175" "175" 2022-05-10 "facility" "hatch" NA "tag"
"176" "176" 2022-05-10 "facility" "hatch" NA "tag"
"177" "177" 2022-05-10 "facility" "hatch" NA "tag"
"178" "178" 2022-05-10 "facility" "hatch" NA "tag"
"179" "179" 2022-05-10 "facility" "hatch" NA "tag"
"180" "180" 2022-05-10 "facility" "hatch" NA "tag"
"181" "181" 2022-05-10 "facility" "hatch" NA "tag"
"182" "182" 2022-05-10 "facility" "hatch" NA "tag"
"183" "183" 2022-05-10 "facility" "hatch" NA "tag"
"184" "184" 2022-05-10 "facility" "hatch" NA "tag"
"185" "185" 2022-05-10 "facility" "hatch" NA "tag"
"186" "186" 2022-05-10 "facility" "hatch" NA "tag"
"187" "187" 2022-05-10 "facility" "hatch" NA "tag"
"188" "188" 2022-05-10 "facility" "hatch" NA "tag"
"189" "189" 2022-05-10 "facility" "hatch" NA "tag"
"190" "190" 2022-05-10 "facility" "hatch" NA "tag"
"191" "191" 2022-05-10 "facility" "hatch" NA "tag"
"192" "192" 2022-05-10 "facility" "hatch" NA "tag"
"193" "193" 2022-05-10 "facility" "hatch" NA "tag"
"194" "194" 2022-05-10 "facility" "hatch" NA "tag"
"195" "195" 2022-05-10 "facility" "hatch" NA "tag"
"196" "196" 2022-05-10 "facility" "hatch" NA "tag"
"197" "197" 2022-05-10 "facility" "hatch" NA "tag"
"198" "198" 2022-05-10 "facility" "hatch" NA "tag"
"199" "199" 2022-05-10 "facility" "hatch" NA "tag"
"200" "200" 2022-05-10 "facility" "hatch" NA "tag"
"201" "201" 2022-05-10 "facility" "hatch" NA "tag"
"202" "202" 2022-05-10 "facility" "hatch" NA "tag"
"203" "203" 2022-05-10 "facility" "hatch" NA "tag"
"204" "204" 2022-05-10 "facility" "hatch" NA "tag"
"205" "205" 2022-05-10 "facility" "hatch" NA "tag"
"206" "206" 2022-05-10 "facility" "hatch" NA "tag"
"207" "207" 2022-05-10 "facility" "hatch" NA "tag"
"208" "208" 2022-05-10 "facility" "hatch" NA "tag"
"209" "209" 2022-05-10 "facility" "hatch" NA "tag"
"210" "210" 2022-05-10 "facility" "hatch" NA "tag"
"211" "211" 2022-05-10 "facility" "hatch" NA "tag"
"212" "212" 2022-05-10 "facility" "hatch" NA "tag"
"213" "213" 2022-05-10 "facility" "hatch" NA "tag"
"214" "214" 2022-05-10 "facility" "hatch" NA "tag"
"215" "215" 2022-05-10 "facility" "hatch" NA "tag"
"216" "216" 2022-05-10 "facility" "hatch" NA "tag"
"217" "217" 2022-05-10 "facility" "hatch" NA "tag"
"218" "218" 2022-05-10 "facility" "hatch" NA "tag"
"219" "219" 2022-05-10 "facility" "hatch" NA "tag"
"220" "220" 2022-05-10 "facility" "hatch" NA "tag"
"221" "221" 2022-05-10 "facility" "hatch" NA "tag"
"222" "222" 2022-05-10 "facility" "hatch" NA "tag"
"223" "223" 2022-05-10 "facility" "hatch" NA "tag"
"224" "224" 2022-05-10 "facility" "hatch" NA "tag"
"225" "225" 2022-05-10 "facility" "hatch" NA "tag"
"226" "226" 2022-05-10 "facility" "hatch" NA "tag"
"227" "227" 2022-05-10 "facility" "hatch" NA "tag"
"228" "228" 2022-05-10 "facility" "hatch" NA "tag"
"229" "229" 2022-05-10 "facility" "hatch" NA "tag"
"230" "230" 2022-05-10 "facility" "hatch" NA "tag"
"231" "231" 2022-05-10 "facility" "hatch" NA "tag"
"232" "232" 2022-05-10 "facility" "hatch" NA "tag"
"233" "233" 2022-05-10 "facility" "hatch" NA "tag"
"234" "234" 2022-05-10 "facility" "hatch" NA "tag"
"235" "235" 2022-05-10 "facility" "hatch" NA "tag"
"236" "236" 2022-05-10 "facility" "hatch" NA "tag"
"237" "237" 2022-05-10 "facility" "hatch" NA "tag"
"238" "238" 2022-05-10 "facility" "hatch" NA "tag"
"239" "239" 2022-05-10 "facility" "hatch" NA "tag"
"240" "240" 2022-05-10 "facility" "hatch" NA "tag"
"241" "241" 2022-05-10 "facility" "hatch" NA "tag"
"242" "242" 2022-05-10 "facility" "hatch" NA "tag"
"243" "243" 2022-05-10 "facility" "hatch" NA "tag"
"244" "244" 2022-05-10 "facility" "hatch" NA "tag"
"245" "245" 2022-05-10 "facility" "hatch" NA "tag"
"246" "246" 2022-05-10 "facility" "hatch" NA "tag"
"247" "247" 2022-05-10 "facility" "hatch" NA "tag"
"248" "248" 2022-05-10 "facility" "hatch" NA "tag"
"249" "249" 2022-05-10 "facility" "hatch" NA "tag"
"250" "250" 2022-05-10 "facility" "hatch" NA "tag"
"251" "251" 2022-05-10 "facility" "hatch" NA "tag"
"252" "252" 2022-05-10 "facility" "hatch" NA "tag"
"253" "253" 2022-05-10 "facility" "hatch" NA "tag"
"254" "254" 2022-05-10 "facility" "hatch" NA "tag"
"255" "255" 2022-05-10 "facility" "hatch" NA "tag"
"256" "256" 2022-05-10 "facility" "hatch" NA "tag"
"257" "257" 2022-05-10 "facility" "hatch" NA "tag"
"258" "258" 2022-05-10 "facility" "hatch" NA "tag"
"259" "259" 2022-05-10 "facility" "hatch" NA "tag"
"260" "260" 2022-05-10 "facility" "hatch" NA "tag"
"261" "261" 2022-05-10 "facility" "hatch" NA "tag"
"262" "262" 2022-05-10 "facility" "hatch" NA "tag"
"263" "263" 2022-05-10 "facility" "hatch" NA "tag"
"264" "264" 2022-05-10 "facility" "hatch" NA "tag"
"265" "265" 2022-05-10 "facility" "hatch" NA "tag"
"266" "266" 2022-05-10 "facility" "hatch" NA "tag"
"267" "267" 2022-05-10 "facility" "hatch" NA "tag"
"268" "268" 2022-05-10 "facility" "hatch" NA "tag"
"269" "269" 2022-05-10 "facility" "hatch" NA "tag"
"270" "270" 2022-05-10 "facility" "hatch" NA "tag"
"271" "271" 2022-05-10 "facility" "hatch" NA "tag"
"272" "272" 2022-05-10 "facility" "hatch" NA "tag"
"273" "273" 2022-05-10 "facility" "hatch" NA "tag"
"274" "274" 2022-05-10 "facility" "hatch" NA "tag"
"275" "275" 2022-05-10 "facility" "hatch" NA "tag"
"276" "276" 2022-05-10 "facility" "hatch" NA "tag"
"277" "277" 2022-05-10 "facility" "hatch" NA "tag"
"278" "278" 2022-05-10 "facility" "hatch" NA "tag"
"279" "279" 2022-05-10 "facility" "hatch" NA "tag"
"280" "280" 2022-05-10 "facility" "hatch" NA "tag"
"281" "281" 2022-05-10 "facility" "hatch" NA "tag"
"282" "282" 2022-05-10 "facility" "hatch" NA "tag"
"283" "283" 2022-05-10 "facility" "hatch" NA "tag"
"284" "284" 2022-05-10 "facility" "hatch" NA "tag"
"285" "285" 2022-05-10 "facility" "hatch" NA "tag"
"286" "286" 2022-05-10 "facility" "hatch" NA "tag"
"287" "287" 2022-05-10 "facility" "hatch" NA "tag"
"288" "288" 2022-05-10 "facility" "hatch" NA "tag"
"289" "289" 2022-05-10 "facility" "hatch" NA "tag"
"290" "290" 2022-05-10 "facility" "hatch" NA "tag"
"291" "291" 2022-05-10 "facility" "hatch" NA "tag"
"292" "292" 2022-05-10 "facility" "hatch" NA "tag"
"293" "293" 2022-05-10 "facility" "hatch" NA "tag"
"294" "294" 2022-05-10 "facility" "hatch" NA "tag"
"295" "295" 2022-05-10 "facility" "hatch" NA "tag"
"296" "296" 2022-05-10 "facility" "hatch" NA "tag"
"297" "297" 2022-05-10 "facility" "hatch" NA "tag"
"298" "298" 2022-05-10 "facility" "hatch" NA "tag"
"299" "299" 2022-05-10 "facility" "hatch" NA "tag"
"300" "300" 2022-05-10 "facility" "hatch" NA "tag"
"301" "301" 2022-05-10 "facility" "hatch" NA "tag"
"302" "302" 2022-05-10 "facility" "hatch" NA "tag"
"303" "303" 2022-05-10 "facility" "hatch" NA "tag"
"304" "304" 2022-05-10 "facility" "hatch" NA "tag"
"305" "305" 2022-05-10 "facility" "hatch" NA "tag"
"306" "306" 2022-05-10 "facility" "hatch" NA "tag"
"307" "307" 2022-05-10 "facility" "hatch" NA "tag"
"308" "308" 2022-05-10 "facility" "hatch" NA "tag"
"309" "309" 2022-05-10 "facility" "hatch" NA "tag"
"310" "310" 2022-05-10 "facility" "hatch" NA "tag"
"311" "311" 2022-05-10 "facility" "hatch" NA "tag"
"312" "312" 2022-05-10 "facility" "hatch" NA "tag"
"313" "313" 2022-05-10 "facility" "hatch" NA "tag"
"314" "314" 2022-05-10 "facility" "hatch" NA "tag"
"315" "315" 2022-05-10 "facility" "hatch" NA "tag"
"316" "316" 2022-05-10 "facility" "hatch" NA "tag"
"317" "317" 2022-05-10 "facility" "hatch" NA "tag"
"318" "318" 2022-05-10 "facility" "hatch" NA "tag"
"319" "319" 2022-05-10 "facility" "hatch" NA "tag"
"320" "320" 2022-05-10 "facility" "hatch" NA "tag"
"321" "321" 2022-05-10 "facility" "hatch" NA "tag"
"322" "322" 2022-05-10 "facility" "hatch" NA "tag"
"323" "323" 2022-05-10 "facility" "hatch" NA "tag"
"324" "324" 2022-05-10 "facility" "hatch" NA "tag"
"325" "325" 2022-05-10 "facility" "hatch" NA "tag"
"326" "326" 2022-05-10 "facility" "hatch" NA "tag"
"327" "327" 2022-05-10 "facility" "hatch" NA "tag"
"328" "328" 2022-05-10 "facility" "hatch" NA "tag"
"329" "329" 2022-05-10 "facility" "hatch" NA "tag"
"330" "330" 2022-05-10 "facility" "hatch" NA "tag"
"331" "331" 2022-05-10 "facility" "hatch" NA "tag"
"332" "332" 2022-05-10 "facility" "hatch" NA "tag"
"333" "333" 2022-05-10 "facility" "hatch" NA "tag"
"334" "334" 2022-05-10 "facility" "hatch" NA "tag"
"335" "335" 2022-05-10 "facility" "hatch" NA "tag"
"336" "336" 2022-05-10 "facility" "hatch" NA "tag"
"337" "337" 2022-05-10 "facility" "hatch" NA "tag"
"338" "338" 2022-05-10 "facility" "hatch" NA "tag"
"339" "339" 2022-05-10 "facility" "hatch" NA "tag"
"340" "340" 2022-05-10 "facility" "hatch" NA "tag"
"341" "341" 2022-05-10 "facility" "hatch" NA "tag"
"342" "342" 2022-05-10 "facility" "hatch" NA "tag"
"343" "343" 2022-05-10 "facility" "hatch" NA "tag"
"344" "344" 2022-05-10 "facility" "hatch" NA "tag"
"345" "345" 2022-05-10 "facility" "hatch" NA "tag"
"346" "346" 2022-05-10 "facility" "hatch" NA "tag"
"347" "347" 2022-05-10 "facility" "hatch" NA "tag"
"348" "348" 2022-05-10 "facility" "hatch" NA "tag"
"349" "349" 2022-05-10 "facility" "hatch" NA "tag"
"350" "350" 2022-05-10 "facility" "hatch" NA "tag"
"351" "351" 2022-05-10 "facility" "hatch" NA "tag"
"352" "352" 2022-05-10 "facility" "hatch" NA "tag"
"353" "353" 2022-05-10 "facility" "hatch" NA "tag"
"354" "354" 2022-05-10 "facility" "hatch" NA "tag"
"355" "355" 2022-05-10 "facility" "hatch" NA "tag"
"356" "356" 2022-05-10 "facility" "hatch" NA "tag"
"357" "357" 2022-05-10 "facility" "hatch" NA "tag"
"358" "358" 2022-05-10 "facility" "hatch" NA "tag"
"359" "359" 2022-05-10 "facility" "hatch" NA "tag"
"360" "360" 2022-05-10 "facility" "hatch" NA "tag"
"361" "361" 2022-05-10 "facility" "hatch" NA "tag"
"362" "362" 2022-05-10 "facility" "hatch" NA "tag"
"363" "363" 2022-05-10 "facility" "hatch" NA "tag"
"364" "364" 2022-05-10 "facility" "hatch" NA "tag"
"365" "365" 2022-05-10 "facility" "hatch" NA "tag"
"366" "366" 2022-05-10 "facility" "hatch" NA "tag"
"367" "367" 2022-05-10 "facility" "hatch" NA "tag"
"368" "368" 2022-05-10 "facility" "hatch" NA "tag"
"369" "369" 2022-05-10 "facility" "hatch" NA "tag"
"370" "370" 2022-05-10 "facility" "hatch" NA "tag"
"371" "371" 2022-05-10 "facility" "hatch" NA "tag"
"372" "372" 2022-05-10 "facility" "hatch" NA "tag"
"373" "373" 2022-05-10 "facility" "hatch" NA "tag"
"374" "374" 2022-05-10 "facility" "hatch" NA "tag"
"375" "375" 2022-05-10 "facility" "hatch" NA "tag"
"376" "376" 2022-05-10 "facility" "hatch" NA "tag"
"377" "377" 2022-05-10 "facility" "hatch" NA "tag"
"378" "378" 2022-05-10 "facility" "hatch" NA "tag"
"379" "379" 2022-05-10 "facility" "hatch" NA "tag"
"380" "380" 2022-05-10 "facility" "hatch" NA "tag"
"381" "381" 2022-05-10 "facility" "hatch" NA "tag"
"382" "382" 2022-05-10 "facility" "hatch" NA "tag"
"383" "383" 2022-05-10 "facility" "hatch" NA "tag"
"384" "384" 2022-05-10 "facility" "hatch" NA "tag"
"385" "385" 2022-05-10 "facility" "hatch" NA "tag"
"386" "386" 2022-05-10 "facility" "hatch" NA "tag"
"387" "387" 2022-05-10 "facility" "hatch" NA "tag"
"388" "388" 2022-05-10 "facility" "hatch" NA "tag"
"389" "389" 2022-05-10 "facility" "hatch" NA "tag"
"390" "390" 2022-05-10 "facility" "hatch" NA "tag"
"391" "391" 2022-05-10 "facility" "hatch" NA "tag"
"392" "392" 2022-05-10 "facility" "hatch" NA "tag"
"393" "393" 2022-05-10 "facility" "hatch" NA "tag"
"394" "394" 2022-05-10 "facility" "hatch" NA "tag"
"395" "395" 2022-05-10 "facility" "hatch" NA "tag"
"396" "396" 2022-05-10 "facility" "hatch" NA "tag"
"397" "397" 2022-05-10 "facility" "hatch" NA "tag"
"398" "398" 2022-05-10 "facility" "hatch" NA "tag"
"399" "399" 2022-05-10 "facility" "hatch" NA "tag"
"400" "400" 2022-05-10 "facility" "hatch" NA "tag"
"401" "401" 2022-05-10 "facility" "hatch" NA "tag"
"402" "402" 2022-05-10 "facility" "hatch" NA "tag"
"403" "403" 2022-05-10 "facility" "hatch" NA "tag"
"404" "404" 2022-05-10 "facility" "hatch" NA "tag"
"405" "405" 2022-05-10 "facility" "hatch" NA "tag"
"406" "406" 2022-05-10 "facility" "hatch" NA "tag"
"407" "407" 2022-05-10 "facility" "hatch" NA "tag"
"408" "408" 2022-05-10 "facility" "hatch" NA "tag"
"409" "409" 2022-05-10 "facility" "hatch" NA "tag"
"410" "410" 2022-05-10 "facility" "hatch" NA "tag"
"411" "411" 2022-05-10 "facility" "hatch" NA "tag"
"412" "412" 2022-05-10 "facility" "hatch" NA "tag"
"413" "413" 2022-05-10 "facility" "hatch" NA "tag"
"414" "414" 2022-05-10 "facility" "hatch" NA "tag"
"415" "415" 2022-05-10 "facility" "hatch" NA "tag"
"416" "416" 2022-05-10 "facility" "hatch" NA "tag"
"417" "417" 2022-05-10 "facility" "hatch" NA "tag"
"418" "418" 2022-05-10 "facility" "hatch" NA "tag"
"419" "419" 2022-05-10 "facility" "hatch" NA "tag"
"420" "420" 2022-05-10 "facility" "hatch" NA "tag"
"421" "421" 2022-05-10 "facility" "hatch" NA "tag"
"422" "422" 2022-05-10 "facility" "hatch" NA "tag"
"423" "423" 2022-05-10 "facility" "hatch" NA "tag"
"424" "424" 2022-05-10 "facility" "hatch" NA "tag"
"425" "425" 2022-05-10 "facility" "hatch" NA "tag"
"426" "426" 2022-05-10 "facility" "hatch" NA "tag"
"427" "427" 2022-05-10 "facility" "hatch" NA "tag"
"428" "428" 2022-05-10 "facility" "hatch" NA "tag"
"429" "429" 2022-05-10 "facility" "hatch" NA "tag"
"430" "430" 2022-05-10 "facility" "hatch" NA "tag"
"431" "431" 2022-05-10 "facility" "hatch" NA "tag"
"432" "432" 2022-05-10 "facility" "hatch" NA "tag"
"433" "433" 2022-05-10 "facility" "hatch" NA "tag"
"434" "434" 2022-05-10 "facility" "hatch" NA "tag"
"435" "435" 2022-05-10 "facility" "hatch" NA "tag"
"436" "436" 2022-05-10 "facility" "hatch" NA "tag"
"437" "437" 2022-05-10 "facility" "hatch" NA "tag"
"438" "438" 2022-05-10 "facility" "hatch" NA "tag"
"439" "439" 2022-05-10 "facility" "hatch" NA "tag"
"440" "440" 2022-05-10 "facility" "hatch" NA "tag"
"441" "441" 2022-05-10 "facility" "hatch" NA "tag"
"442" "442" 2022-05-10 "facility" "hatch" NA "tag"
"443" "443" 2022-05-10 "facility" "hatch" NA "tag"
"444" "444" 2022-05-10 "facility" "hatch" NA "tag"
"445" "445" 2022-05-10 "facility" "hatch" NA "tag"
"446" "446" 2022-05-10 "facility" "hatch" NA "tag"
"447" "447" 2022-05-10 "facility" "hatch" NA "tag"
"448" "448" 2022-05-10 "facility" "hatch" NA "tag"
"449" "449" 2022-05-10 "facility" "hatch" NA "tag"
"450" "450" 2022-05-10 "facility" "hatch" NA "tag"
"451" "451" 2022-05-10 "facility" "hatch" NA "tag"
"452" "452" 2022-05-10 "facility" "hatch" NA "tag"
"453" "453" 2022-05-10 "facility" "hatch" NA "tag"
"454" "454" 2022-05-10 "facility" "hatch" NA "tag"
"455" "455" 2022-05-10 "facility" "hatch" NA "tag"
"456" "456" 2022-05-10 "facility" "hatch" NA "tag"
"457" "457" 2022-05-10 "facility" "hatch" NA "tag"
"458" "458" 2022-05-10 "facility" "hatch" NA "tag"
"459" "459" 2022-05-10 "facility" "hatch" NA "tag"
"460" "460" 2022-05-10 "facility" "hatch" NA "tag"
"461" "461" 2022-05-10 "facility" "hatch" NA "tag"
"462" "462" 2022-05-10 "facility" "hatch" NA "tag"
"463" "463" 2022-05-10 "facility" "hatch" NA "tag"
"464" "464" 2022-05-10 "facility" "hatch" NA "tag"
