date,watershed,river,site,method,local,water_temp_start,fork_length_mm,annoted_species,confirmed_species,tag_id_long
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,77,ck,chinook,989.001038864404
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,77,ck,chinook,989.001038864355
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,77,ck,chinook,989.001038864335
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,78,ck,chinook,989.001038864370
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,80,ck,chinook,989.001038864399
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,80,ck,chinook,989.001038864381
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,80,ck,chinook,989.001038864407
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,80,ck,chinook,989.001038864317
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,81,ck,chinook,989.001038864343
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,81,ck,chinook,989.001038864368
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,81,ck,chinook,989.001038864365
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,81,ck,chinook,989.001038864348
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,81,ck,chinook,989.001038864397
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,82,ck,chinook,989.001038864391
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,82,ck,chinook,989.001038864378
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,82,ck,chinook,989.001038864325
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,82,ck,chinook,989.001038864338
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,83,ck,chinook,989.001038864358
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,83,ck,chinook,989.001038864360
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,83,ck,chinook,989.001038864361
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,84,ck,chinook,989.001038864366
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,84,ck,chinook,989.001038864398
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,84,ck,chinook,989.001038864339
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,84,ck,chinook,989.001038864372
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,87,ck,chinook,989.001038864410
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,87,ck,chinook,989.001038864402
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,87,ck,chinook,989.001038864356
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,89,ck,chinook,989.001038864367
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,89,ck,chinook,989.001038864375
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,89,ck,chinook,989.001038864346
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,89,ck,chinook,989.001038864362
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,89,ck,chinook,989.001038864414
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,90,ck,chinook,989.001038864336
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,91,ck,chinook,989.001038864324
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,91,ck,chinook,989.001038864349
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,93,ck,chinook,989.001038864318
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,93,ck,chinook,989.001038864331
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,93,ck,chinook,989.001038864330
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,93,ck,chinook,989.001038864406
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,94,ck,chinook,989.001038864353
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,94,ck,chinook,989.001038864347
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,95,ck,chinook,989.001038864345
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,95,ck,chinook,989.001038864371
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,96,ck,chinook,989.001038864384
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,96,ck,chinook,989.001038864389
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,97,ck,chinook,989.001038864323
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,93,rbt,steelhead,989.001038864387
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,73,ck,chinook,989.001038866099
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,74,ck,chinook,989.001038866106
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,75,ck,chinook,989.001038866043
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,75,ck,chinook,989.001038866101
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,75,ck,chinook,989.001038866067
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,76,ck,chinook,989.001038866054
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,76,ck,chinook,989.001038866022
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,76,ck,chinook,989.001038866047
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,77,ck,chinook,989.001038866024
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,77,ck,chinook,989.001038866097
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,78,ck,chinook,989.001038866039
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,79,ck,chinook,989.001038866094
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,79,ck,chinook,989.001038866031
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,79,ck,chinook,989.001038866046
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,80,ck,chinook,989.001038866051
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,80,ck,chinook,989.001038866074
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,80,ck,chinook,989.001038866042
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,84,ck,chinook,989.001038866114
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,86,ck,chinook,989.001038866021
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,88,ck,chinook,989.001038866045
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,89,ck,chinook,989.001038866095
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,89,ck,chinook,989.001038866048
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,90,ck,chinook,989.001038866033
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,92,ck,chinook,989.001038866028
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,100,ck,chinook,989.001038866036
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,104,ck,coho,989.001038866038
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,67,ck,chinook,989.001038866945
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,70,ck,chinook,989.001038866948
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,70,ck,chinook,989.001038866919
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,73,ck,chinook,989.001038866998
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,73,ck,chinook,989.001038866959
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,74,ck,chinook,989.001038866970
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,74,ck,chinook,989.001038866939
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,74,ck,chinook,989.001038867002
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,75,ck,chinook,989.001038866943
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,75,ck,chinook,989.001038866924
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,75,ck,chinook,989.001038866954
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,75,ck,chinook,989.001038867016
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,75,ck,chinook,989.001038866944
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,75,ck,chinook,989.001038866934
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,75,ck,chinook,989.001038866995
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,76,ck,chinook,989.001038866961
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,76,ck,chinook,989.001038866941
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,76,ck,chinook,989.001038866932
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,77,ck,chinook,989.001038866953
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,77,ck,chinook,989.001038866979
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,78,ck,chinook,989.001038866985
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,78,ck,chinook,989.001038867010
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,79,ck,chinook,989.001038866955
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,80,ck,chinook,989.001038867011
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,80,ck,chinook,989.001038866931
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,80,ck,chinook,989.001038866940
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,80,ck,chinook,989.001038867015
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,80,ck,chinook,989.001038866977
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,81,ck,chinook,989.001038866963
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,82,ck,chinook,989.001038866930
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,83,ck,chinook,989.001038866960
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,83,ck,chinook,989.001038866969
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,83,ck,chinook,989.001038866978
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,83,ck,chinook,989.001038866987
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,83,ck,chinook,989.001038867003
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,84,ck,chinook,989.001038866935
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,84,ck,chinook,989.001038866990
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,85,ck,chinook,989.001038866957
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,85,ck,chinook,989.001038866974
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,85,ck,chinook,989.001038866920
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,85,ck,chinook,989.001038866988
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,86,ck,chinook,989.001038866927
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,86,ck,chinook,989.001038866942
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,86,ck,chinook,989.001038866951
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,87,ck,chinook,989.001038867009
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,87,ck,chinook,989.001038866952
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,87,ck,chinook,989.001038867007
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,88,ck,chinook,989.001033763635
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,89,ck,chinook,989.001038867013
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,90,ck,chinook,989.001038866949
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,90,ck,chinook,989.001038867017
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,90,ck,chinook,989.001038866975
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,90,ck,chinook,989.001038866992
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,90,ck,chinook,989.001038866928
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,92,ck,chinook,989.001038867005
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,93,ck,chinook,989.001038866968
2021-06-04,puntledge,puntledge,above tsolum,beach seine,in-river,13.2,94,co,coho,989.001038866976
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,64,ck,chinook,989.001038865890
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,65,ck,chinook,989.001038865832
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,65,ck,chinook,989.001038865909
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,66,ck,chinook,989.001038865829
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,66,ck,chinook,989.001038865837
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,67,ck,chinook,989.001038865856
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,67,ck,chinook,989.001038865869
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,67,ck,chinook,989.001038865902
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,68,ck,chinook,989.001038865912
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,68,ck,chinook,989.001038865882
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,68,ck,chinook,989.001038865891
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,68,ck,chinook,989.001038865878
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,69,ck,chinook,989.001038865885
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,70,ck,chinook,989.001038865903
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,70,ck,chinook,989.001038865881
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,72,ck,chinook,989.001038865865
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,72,ck,chinook,989.001038865906
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,72,ck,chinook,989.001038865836
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,73,ck,chinook,989.001038865848
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,73,ck,chinook,989.001038865847
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,74,ck,chinook,989.001038865874
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,74,ck,chinook,989.001038865858
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,75,ck,chinook,989.001038865840
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,75,ck,chinook,989.001038865904
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,75,ck,chinook,989.001038865896
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,76,ck,chinook,989.001038865879
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,76,ck,chinook,989.001038865851
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,77,ck,chinook,989.001038865866
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,77,ck,chinook,989.001038865831
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,77,ck,chinook,989.001038865864
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,77,ck,chinook,989.001038865827
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,77,ck,chinook,989.001038865871
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,77,ck,chinook,989.001038865900
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,78,ck,chinook,989.001038865892
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,78,ck,chinook,989.001038865911
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,79,ck,chinook,989.001038865898
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,79,ck,coho,989.001038865843
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,80,ck,chinook,989.001038865830
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,80,ck,chinook,989.001038865886
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,80,ck,chinook,989.001038865824
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,81,ck,chinook,989.001038865870
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,81,ck,chinook,989.001038865862
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,81,ck,chinook,989.001038865917
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,82,ck,chinook,989.001038865883
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,82,ck,chinook,989.001038865895
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,82,ck,chinook,989.001038865853
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,83,ck,chinook,989.001038865826
2021-06-04,puntledge,puntledge,condensory bridge,beach seine,in-river,13,84,ck,chinook,989.001038865875
